,game_date,play_id,play_type_nfl,punt_inside_twenty,game_id,possession_team,home_team,away_team,home_score,away_score,total_home_score,total_away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,return_yards,return_touchdown
74919,2018-11-18,776.0,PUNT,0.0,2018_11_CIN_BAL,BAL,BAL,CIN,24,21,7.0,0.0,0.77796626,Half1,2899.0,punt,0.22203374,38.0,0.0
76574,2018-11-18,1042.0,PUNT,0.0,2018_11_PIT_JAX,PIT,JAX,PIT,16,20,3.0,0.0,0.32268274,Half1,2537.0,punt,0.67731726,25.0,0.0
76908,2018-11-18,595.0,PUNT,0.0,2018_11_TEN_IND,TEN,IND,TEN,38,10,0.0,0.0,0.35619316,Half1,3009.0,punt,0.6438068,51.0,0.0
77062,2018-11-25,392.0,PUNT,0.0,2018_12_ARI_LAC,LAC,LAC,ARI,45,10,0.0,7.0,0.31625548,Half1,3204.0,punt,0.68374455,26.0,0.0
77089,2018-11-25,1025.0,PUNT,0.0,2018_12_ARI_LAC,ARI,LAC,ARI,45,10,7.0,10.0,0.46490046,Half1,2527.0,punt,0.5350995,23.0,0.0
77685,2018-11-25,3668.0,PUNT,0.0,2018_12_CLE_CIN,CLE,CIN,CLE,20,35,20.0,35.0,0.9906844,Half2,382.0,punt,0.00931561,23.0,0.0
77708,2018-11-25,4188.0,PUNT,0.0,2018_12_CLE_CIN,CLE,CIN,CLE,20,35,20.0,35.0,0.9986552,Half2,120.0,punt,0.0013448,33.0,0.0
77821,2018-11-25,2450.0,PUNT,0.0,2018_12_GB_MIN,MIN,MIN,GB,24,17,14.0,14.0,0.47584873,Half2,1507.0,punt,0.52415127,23.0,0.0
77839,2018-11-25,2857.0,PUNT,0.0,2018_12_GB_MIN,GB,MIN,GB,24,17,17.0,14.0,0.24449894,Half2,1018.0,punt,0.75550103,20.0,0.0
77998,2018-11-25,2912.0,PUNT,0.0,2018_12_JAX_BUF,BUF,BUF,JAX,24,21,14.0,14.0,0.4657808,Half2,1280.0,punt,0.5342192,21.0,0.0
78648,2018-11-25,1273.0,PUNT,0.0,2018_12_OAK_BAL,OAK,BAL,LV,34,17,9.0,7.0,0.46833506,Half1,2581.0,punt,0.53166497,70.0,1.0
